游戏名字,游戏类型,游戏图片,游戏地址
"('坦克大战',)","('小游戏 小游戏 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/xyx/timg.png,"('https://www.yikm.net/play?id=4275&n=L2Zjcm9tL3h5eC9CYXR0bGUgQ2l0eSAoSikgWyFdLm5lcw==&t=坦克大战',)"
"('Super Mario Bros 3(USA)',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2157a.png,"('https://www.yikm.net/play?id=3508&n=L2Zjcm9tL2R6bXgvU3VwZXIgTWFyaW8gQnJvcy4gMyAoVSkgKFBSRzEpIFshXS5uZXM=&t=Super Mario Bros 3(USA)',)"
"('MARIOMIS(Europe)',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3511&n=L2Zjcm9tL2R6bXgvTWFyaW8gaXMgTWlzc2luZyEgKEUpIFshXS5uZXM=&t=MARIOMIS(Europe)',)"
"('MARIOMIS(USA)',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3512&n=L2Zjcm9tL2R6bXgvTWFyaW8gaXMgTWlzc2luZyEgKFUpIFshXS5uZXM=&t=MARIOMIS(USA)',)"
"('马里奥的时间机器',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3513&n=L2Zjcm9tL2R6bXgvTWFyaW8ncyBUaW1lIE1hY2hpbmUhIChVKSBbIV0ubmVz&t=马里奥的时间机器',)"
"('Super Mario Bros 2',)","('超级马里奥 超级马里奥 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=6086&n=L2Zjcm9tL2R6bXgvc21iMmoubmVz&t=Super Mario Bros 2&ac=3',)"
"('TMNT2(Japan)',)","('忍者神龟 忍者神龟 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2257a.png,"('https://www.yikm.net/play?id=3297&n=L2Zjcm9tL2R6bXgvVGVlbmFnZSBNdXRhbnQgTmluamEgVHVydGxlcyAoSikubmVz&t=TMNT2(Japan)',)"
"('TMNT2(USA)',)","('忍者神龟 忍者神龟 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2260a.png,"('https://www.yikm.net/play?id=3298&n=L2Zjcm9tL2R6bXgvVGVlbmFnZSBNdXRhbnQgTmluamEgVHVydGxlcyBJSSAtIFRoZSBBcmNhZGUgR2FtZSAoVSkgWyFdLm5lcw==&t=TMNT2(USA)',)"
"('TMNT3(Japan)',)","('忍者神龟 忍者神龟 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3299&n=L2Zjcm9tL2R6bXgvVGVlbmFnZSBNdXRhbnQgTmluamEgVHVydGxlcyAyIC0gVGhlIE1hbmhhdHRhbiBQcm9qZWN0IChKKS5uZXM=&t=TMNT3(Japan)&ac=3',)"
"('Gekikame Ninja Den',)","('忍者神龟 忍者神龟 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/838a.png,"('https://www.yikm.net/play?id=3301&n=L2Zjcm9tL2R6bXgvR2VraWthbWUgTmluamEgRGVuIChKKS5uZXM=&t=Gekikame Ninja Den',)"
"('Gekikame Ninja Den',)","('忍者神龟 忍者神龟 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2258a.png,"('https://www.yikm.net/play?id=3302&n=L2Zjcm9tL2R6bXgvVGVlbmFnZSBNdXRhbnQgTmluamEgVHVydGxlcyAoVSkgWyFdLm5lcw==&t=Gekikame Ninja Den',)"
"('激龟快打(忍者神龟格斗)欧版',)","('忍者神龟 忍者神龟 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2254a.png,"('https://www.yikm.net/play?id=3303&n=L2Zjcm9tL2R6bXgvVGVlbmFnZSBNdXRhbnQgSGVybyBUdXJ0bGVzIC0gVG91cm5hbWVudCBGaWdodGVycyAoRSkgWyFdLm5lcw==&t=激龟快打(忍者神龟格斗)欧版',)"
"('激龟快打(忍者神龟格斗)美版',)","('忍者神龟 忍者神龟 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2259a.png,"('https://www.yikm.net/play?id=3304&n=L2Zjcm9tL2R6bXgvVGVlbmFnZSBNdXRhbnQgTmluamEgVHVydGxlcyAtIFRvdXJuYW1lbnQgRmlnaHRlcnMgKFUpIFshXS5uZXM=&t=激龟快打(忍者神龟格斗)美版',)"
"('Battletoads Double Dragon(Europe)',)","('忍者蛙 忍者蛙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3309&n=L2Zjcm9tL2R6bXgvQmF0dGxldG9hZHMgJiBEb3VibGUgRHJhZ29uIC0gVGhlIFVsdGltYXRlIFRlYW0gKEUpIFshXS5uZXM=&t=Battletoads Double Dragon(Europe)',)"
"('Battletoads Double Dragon(USA)',)","('忍者蛙 忍者蛙 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3310&n=L2Zjcm9tL2R6bXgvQmF0dGxldG9hZHMgJiBEb3VibGUgRHJhZ29uIC0gVGhlIFVsdGltYXRlIFRlYW0gKFUpIFshXS5uZXM=&t=Battletoads Double Dragon(USA)',)"
"('Saiyuuki World',)","('射击 射击 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/sj/2045a.png,"('https://www.yikm.net/play?id=4087&n=L2Zjcm9tL3NqL1NvbiBTb24gKEopIFshXS5uZXM=&t=Saiyuuki World',)"
"('Mighty Final Fight',)","('动作冒险 动作冒险 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1455a.png,"('https://www.yikm.net/play?id=3321&n=L2Zjcm9tL2R6bXgvTWlnaHR5IEZpbmFsIEZpZ2h0IChKKSBbIV0ubmVz&t=Mighty Final Fight',)"
"('快打旋风-中文',)","('动作冒险 动作冒险 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1456a.png,"('https://www.yikm.net/play?id=3325&n=L2Zjcm9tL2R6bXgvTWlnaHR5IEZpbmFsIEZpZ2h0IChVKSBbVCtDaGldLm5lcw==&t=快打旋风-中文',)"
"('宇宙战将(最终幻想2) (C)',)","('中文 中文 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/jsbyzw/FC_5132.gif,"('https://www.yikm.net/play?id=5132&n=L2Zjcm9tL2pzYnl6dy/lroflrpnmiJjlsIYo5pyA57uI5bm75oOzMikuTkVT&t=宇宙战将(最终幻想2) (C)&ac=3',)"
"('FINALF~1',)","('中文 中文 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/jsbyzw/FC_5134.gif,"('https://www.yikm.net/play?id=5134&n=L2Zjcm9tL2pzYnl6dy9GaW5hbCBGYW50YXN5IChKKS5uZXM=&t=FINALF~1&ac=3',)"
"('最终幻想7(中文)',)","('中文 中文 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/jsbyzw/FC_5151.gif,"('https://www.yikm.net/play?id=5151&n=L2Zjcm9tL2pzYnl6dy9bTkowNjNdIEZpbmFsIEZhbnRhc3kgVklJLk5FUw==&t=最终幻想7(中文)&ac=3',)"
"('最终幻想美版(太空战士美版)',)","('中文 中文 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/jsbyzw/FC_5153.gif,"('https://www.yikm.net/play?id=5153&n=L2Zjcm9tL2pzYnl6dy9GRjFFLk5FUw==&t=最终幻想美版(太空战士美版)&ac=3',)"
"('格兰蒂亚 (C) (2)',)","('中文 中文 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/jsbyzw/FC_5159.gif,"('https://www.yikm.net/play?id=5159&n=L2Zjcm9tL2pzYnl6dy9bRVMtMTA3OF0gR2UgTGFuIERpIFlhIChDKS5ORVM=&t=格兰蒂亚 (C) (2)&ac=3',)"
"('梦幻-香帅传奇之血海飘香中文(楚留香中文)',)","('中文 中文 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/jsbyzw/FC_5161.gif,"('https://www.yikm.net/play?id=5161&n=L2Zjcm9tL2pzYnl6dy9NZW5nIEh1YW4gKEMpLk5FUw==&t=梦幻-香帅传奇之血海飘香中文(楚留香中文)&ac=3',)"
